Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Alternative Organism Name],Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Compound Name,Compound PubChem CID,Compound PubChem URL,Alternative Compound PubChem CID,Alternative Compound PubChem URL,Compound ChEMBL ID,Alternative Compound ChEMBL ID,Broad Identifier,Compound InChIKey,Alternative Compound InChIKey,Compound SMILES,Alternative Compound SMILES,Control Type,Channels,Nuclei Count,Percentage Effect,Percentage Viability
ESP0029359.zarr,A1,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,CI-1033 (Canertinib),156414,https://pubchem.ncbi.nlm.nih.gov/compound/156414,,,CHEMBL31965,,"BRD-K50168500-001-07-9, BRD-K50168500-001-01-2",OMZCMEYTWSXEPZ-UHFFFAOYSA-N,,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,587,4.03,89.01
ESP0029359.zarr,A2,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Mozavaptan,119369,https://pubchem.ncbi.nlm.nih.gov/compound/119369,,,CHEMBL420762,,"BRD-A31095847-001-02-3, BRD-A31095847-001-03-9",WRNXUQJJCIZICJ-UHFFFAOYSA-N,,CN(C)C1CCCN(C(=O)c2ccc(NC(=O)c3ccccc3C)cc2)c2ccccc12,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,653,20.6,99.01
ESP0029359.zarr,A3,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Oxymetholone,5281034,https://pubchem.ncbi.nlm.nih.gov/compound/5281034,,,CHEMBL1200585,CHEMBL1578149,BRD-A16767899-001-01-5,ICMWWNHDUZJFDW-DHODBPELSA-N,,CC1(O)CCC2C3CCC4CC(=O)C(CC4(C)C3CCC12C)C=O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,582,3.4,88.25
ESP0029359.zarr,A4,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,BQ-123,443289,https://pubchem.ncbi.nlm.nih.gov/compound/443289,,,CHEMBL314691,,BRD-A59961917-001-01-0,VYCMAAOURFJIHD-PJNXIOHISA-N,,CC(C)CC1NC(=O)C(NC(=O)C2CCCN2C(=O)C(CC(O)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O)C(C)C,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,612,-4.98,92.8
ESP0029359.zarr,A5,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,TAK-875,24857286,https://pubchem.ncbi.nlm.nih.gov/compound/24857286,,,CHEMBL1829174,,"BRD-K58501140-002-01-0, BRD-K58501140-001-02-9",BZCALJIHZVNMGJ-HSZRJFAPSA-N,,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3[C@H](CC(O)=O)COc3c2)c1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,660,-1.57,100.08
ESP0029359.zarr,A6,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,lixivaptan,172997,https://pubchem.ncbi.nlm.nih.gov/compound/172997,,,CHEMBL49429,,BRD-K59391348-001-01-7,PPHTXRNHTVLQED-UHFFFAOYSA-N,,Cc1ccc(F)cc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3Cc3ccccc23)c(Cl)c1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,577,9.56,87.49
ESP0029359.zarr,A7,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Caffeic acid,689043,https://pubchem.ncbi.nlm.nih.gov/compound/689043,,,CHEMBL145,,"BRD-K09900591-001-26-7, BRD-K09900591-001-25-9, BRD-K09900591-001-29-9",QAIPRVGONGVQAS-DUXPYHPUSA-N,,OC(=O)\C=C\c1ccc(O)c(O)c1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,672,1.17,101.9
ESP0029359.zarr,A8,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Dextrose (D-glucose),107526,https://pubchem.ncbi.nlm.nih.gov/compound/107526,,,CHEMBL448805,,"BRD-K51431759-001-02-9, BRD-K51431759-001-03-9",GZCGUPFRVQAUEE-SLPGGIOYSA-N,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,693,2.79,105.08
ESP0029359.zarr,A9,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,TAK-700 (Orteronel),9883029,https://pubchem.ncbi.nlm.nih.gov/compound/9883029,,,CHEMBL1921977,,"BRD-K00674894-001-01-4, BRD-K00674894-001-02-2",OZPFIJIOIVJZMN-UHFFFAOYSA-N,,CNC(=O)c1ccc2cc(ccc2c1)[C@]1(O)CCn2cncc12,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,602,-0.4,91.28
ESP0029359.zarr,A10,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,BMS-707035,54682040,https://pubchem.ncbi.nlm.nih.gov/compound/54682040,,,CHEMBL486226,,BRD-K49555808-001-03-9,VNIWZCGZPBJWBI-UHFFFAOYSA-N,,Cn1c(nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O)N1CCCCS1(=O)=O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,654,-1.64,99.17
ESP0029359.zarr,A11,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,PF-04217903,17754438,https://pubchem.ncbi.nlm.nih.gov/compound/17754438,,,CHEMBL2001019,,"BRD-K73319509-001-08-0, BRD-K73319509-001-06-4",PDMUGYOXRHVNMO-UHFFFAOYSA-N,,OCCn1cc(cn1)-c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,628,0.98,95.22
ESP0029359.zarr,A12,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,SB705498,9910486,https://pubchem.ncbi.nlm.nih.gov/compound/9910486,,,CHEMBL207433,,"BRD-K65991129-001-02-9, BRD-K65991129-001-03-9",JYILLRHXRVTRSH-GFCCVEGCSA-N,,FC(F)(F)c1ccc(nc1)N1CC[C@H](C1)NC(=O)Nc1ccccc1Br,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,566,-3.98,85.82
ESP0029359.zarr,A13,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Nilvadipine (ARC029),4494,https://pubchem.ncbi.nlm.nih.gov/compound/4494,,,CHEMBL517427,,"BRD-A84687895-001-04-0, BRD-A84687895-001-03-2, BRD-A84687895-001-05-9",FAIIFDPAEUKBEP-UHFFFAOYSA-N,,COC(=O)C1=C(NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C)C#N,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,625,4.59,94.77
ESP0029359.zarr,A14,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,F351,11217901,https://pubchem.ncbi.nlm.nih.gov/compound/11217901,,,CHEMBL4297288,,"BRD-K41267922-001-01-4, BRD-K41267922-001-02-9",NETTXQJYJRFTFS-UHFFFAOYSA-N,,Cc1ccc(=O)n(c1)-c1ccc(O)cc1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,767,-2.59,116.3
ESP0029359.zarr,A15,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,floctafenine,3360,https://pubchem.ncbi.nlm.nih.gov/compound/3360,,,CHEMBL2105075,,BRD-A23418262-001-01-5,APQPGQGAWABJLN-UHFFFAOYSA-N,,OCC(O)COC(=O)c1ccccc1Nc1ccnc2c(cccc12)C(F)(F)F,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,622,-5.11,94.31
ESP0029359.zarr,A16,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Detomidine HCl,56032,https://pubchem.ncbi.nlm.nih.gov/compound/56032,,,CHEMBL2110829,,"BRD-K77597856-003-02-5, BRD-K77597856-003-03-9",RHDJRPPFURBGLQ-UHFFFAOYSA-N,,Cc1cccc(Cc2c[nH]cn2)c1C,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,681,6.08,103.26
ESP0029359.zarr,A17,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Iloperidone (Fanapt),71360,https://pubchem.ncbi.nlm.nih.gov/compound/71360,,,CHEMBL14376,,BRD-K48722833-001-07-6,XMXHEBAFVSFQEX-UHFFFAOYSA-N,,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2cc(F)ccc12)C(C)=O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,609,-0.01,92.34
ESP0029359.zarr,A18,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,DMXAA (Vadimezan),123964,https://pubchem.ncbi.nlm.nih.gov/compound/123964,,,CHEMBL71263,,"BRD-K27938825-001-02-4, BRD-K27938825-001-04-9",XGOYIMQSIKSOBS-UHFFFAOYSA-N,,Cc1ccc2c(oc3c(CC(O)=O)cccc3c2=O)c1C,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,791,-3.38,119.94
ESP0029359.zarr,A19,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,CUDC-101,24756910,https://pubchem.ncbi.nlm.nih.gov/compound/24756910,,,CHEMBL598797,,"BRD-K41278234-001-03-0, BRD-K41278234-001-04-9",PLIVFNIUGLLCEK-UHFFFAOYSA-N,,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCC(=O)NO,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,661,-2.48,100.23
ESP0029359.zarr,A20,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Rizatriptan Benzoate (Maxalt),5078,https://pubchem.ncbi.nlm.nih.gov/compound/5078,,,CHEMBL905,,"BRD-K75699339-057-08-1, BRD-K75699339-057-09-9, BRD-K75699339-057-07-3, BRD-K75699339-057-10-7",ULFRLSNUDGIQQP-UHFFFAOYSA-N,,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,741,-5.8,112.36
ESP0029359.zarr,A21,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Albendazole Oxide (Ricobendazole),83969,https://pubchem.ncbi.nlm.nih.gov/compound/83969,,,CHEMBL1665,,"BRD-A67060370-001-02-9, BRD-A67060370-001-04-5",VXTGHWHFYNYFFV-UHFFFAOYSA-N,,CCCS(=O)c1ccc2nc(NC(=O)OC)[nH]c2c1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,667,0.62,101.14
ESP0029359.zarr,A22,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Proparacaine HCl,4935,https://pubchem.ncbi.nlm.nih.gov/compound/4935,,,CHEMBL1196,,"BRD-K79116891-003-15-1, BRD-K79116891-003-14-4, BRD-K79116891-003-16-9",KCLANYCVBBTKTO-UHFFFAOYSA-N,,CCCOc1ccc(cc1N)C(=O)OCCN(CC)CC,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,712,9.0,107.96
ESP0029359.zarr,A23,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,,,,,,,,,,,,,positive control,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,384,94.86,58.23
ESP0029359.zarr,A24,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,,,,,,,,,,,,,negative control,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,752,-0.01,114.03
